block_id,block_label,operator_id,operator_family,classification_role,step_count,integrated_signed_work,integrated_absolute_activity,mean_signed_rate,median_signed_rate,mean_absolute_rate,maximum_absolute_rate,positive_count,negative_count,zero_count,sign_agreement_fraction_with_baseline,n90_steps,absolute_activity_ratio_to_baseline,signed_integral_magnitude_ratio_to_baseline,maximum_rate_ratio_to_baseline,signed_integral_ratio_to_baseline,near_neutral_pass,persistence_pass,integrity_failure_count
5,80.005 < t <= 100.005,SHADOW_PS_ADVECTIVE_UNPROJECTED_RC_NYQUIST_V2,PSEUDO_SPECTRAL_RC_NYQUIST,primary_alternate,4000,-3.706370270448818e-11,3.706370270448818e-11,-1.853185135224409e-12,-1.8415945817731785e-12,1.853185135224409e-12,3.3804075668221814e-12,0,4000,0,0.0,2796,5.717137871291058e-08,5.717137871291058e-08,8.593041993195249e-08,-5.717137871291058e-08,True,False,0
5,80.005 < t <= 100.005,SHADOW_PS_ADVECTIVE_PROJECTED_RC_NYQUIST_V2,PSEUDO_SPECTRAL_RC_NYQUIST,primary_alternate,4000,-8.039744639911096e-08,8.039744639911096e-08,-4.019872319955547e-09,-4.252383025325296e-09,4.019872319955547e-09,5.933661599833416e-09,0,4000,0,0.0,3155,0.00012401440007983613,0.00012401440007983613,0.00015083448457876665,-0.00012401440007983613,True,False,0
5,80.005 < t <= 100.005,SHADOW_ARAKAWA_V1,ARAKAWA,primary_alternate,4000,1.1290949186899824e-20,3.1683267392047105e-19,5.645474593449912e-22,0.0,1.5841633696023553e-20,7.792703114739563e-20,1940,1829,231,0.54275,2552,4.887196763300687e-16,1.7416477170110456e-17,1.9809157263368213e-15,1.7416477170110456e-17,True,False,0
6,full run: 0.005 <= t <= 100.005,BASE_FD_ADVECTIVE_V1,BASELINE,baseline,20001,0.0015368528716236765,0.0015368528716236765,1.5367760328220354e-05,1.1694849261564825e-05,1.5367760328220354e-05,3.9338892670361616e-05,20000,1,0,1.0,10199,1.0,1.0,1.0,1.0,False,False,0
6,full run: 0.005 <= t <= 100.005,SHADOW_FD_ADVECTIVE_PROJECTED_V1,PROJECTED_BASELINE_CHECK,mechanism_check,20001,0.0015367903256203858,0.0015367903256203858,1.5367134899458883e-05,1.1694716906508674e-05,1.5367134899458883e-05,3.9336137939840666e-05,20000,1,0,1.0,10199,0.9999593025432392,0.9999593025432392,0.999929974375638,0.9999593025432392,False,False,0
6,full run: 0.005 <= t <= 100.005,SHADOW_FD_CONSERVATIVE_V1,CENTERED_ALGEBRAIC,primary_alternate,20001,-0.0015368528716236765,0.0015368528716236765,-1.5367760328220354e-05,-1.1694849261564822e-05,1.5367760328220354e-05,3.9338892670361616e-05,1,20000,0,4.999750012499375e-05,10199,1.0,1.0,1.0,-1.0,False,True,0
6,full run: 0.005 <= t <= 100.005,SHADOW_FD_SKEW_V1,CENTERED_ALGEBRAIC,primary_alternate,20001,-3.0834101454747655e-21,7.225358413147624e-19,-3.083255982675632e-23,0.0,7.224997163289459e-21,8.978549240895584e-20,8937,8970,2094,0.551522423878806,7417,4.701398908481118e-16,2.006314464062627e-18,2.2823594238228594e-15,-2.006314464062627e-18,True,False,0
6,full run: 0.005 <= t <= 100.005,SHADOW_PS_ADVECTIVE_UNPROJECTED_RC_NYQUIST_V2,PSEUDO_SPECTRAL_RC_NYQUIST,primary_alternate,20001,-4.073286005133254e-11,4.0732860058463686e-11,-4.0730823510157033e-13,-7.70787445913794e-15,4.073082351728782e-13,3.3804075668221814e-12,1866,17867,268,0.10674466276686166,3513,2.650407258271226e-08,2.6504072578072164e-08,8.593041993195249e-08,-2.6504072578072164e-08,True,False,0
6,full run: 0.005 <= t <= 100.005,SHADOW_PS_ADVECTIVE_PROJECTED_RC_NYQUIST_V2,PSEUDO_SPECTRAL_RC_NYQUIST,primary_alternate,20001,-1.2335651359553917e-07,1.2335651359553996e-07,-1.2335034607823524e-09,-2.703919947034841e-10,1.2335034607823605e-09,5.933661599833416e-09,1097,18743,161,0.06289685515724214,6704,8.026566229805362e-05,8.02656622980531e-05,0.00015083448457876665,-8.02656622980531e-05,True,False,0
6,full run: 0.005 <= t <= 100.005,SHADOW_ARAKAWA_V1,ARAKAWA,primary_alternate,20001,2.731510951489976e-20,7.533990557017469e-19,2.7313743827708374e-22,0.0,7.533613876323653e-21,8.470329472543003e-20,9103,8969,1929,0.551622418879056,7667,4.902219787023497e-16,1.7773405652059264e-17,2.1531692677574144e-15,1.7773405652059264e-17,True,False,0
