N,method,k,E_k,mode_count
64,arakawa,9.0,9.996053637352724e-18,68
64,arakawa,10.0,3.30708271861278e-19,56
64,arakawa,11.0,9.554271002539591e-20,72
64,arakawa,12.0,1.7718745169733196e-21,68
64,arakawa,13.0,3.1439928648993886e-24,88
64,arakawa,14.0,1.1516407428149724e-25,88
64,arakawa,15.0,1.6030725252663892e-26,84
64,arakawa,16.0,5.815716383915175e-28,112
64,arakawa,17.0,6.333432563205461e-31,112
64,arakawa,18.0,6.272144324938629e-32,112
64,arakawa,19.0,1.1421929462945381e-33,116
64,arakawa,20.0,1.1807313979765814e-34,112
64,arakawa,21.0,2.7331395396451876e-35,144
64,arakawa,22.0,8.857053678394461e-38,140
64,arakawa,23.0,1.1033935538581752e-37,144
64,arakawa,24.0,4.917646200956038e-38,144
64,arakawa,25.0,3.188909068039231e-38,168
64,arakawa,26.0,1.416090928478678e-38,164
64,arakawa,27.0,1.1358004109694511e-38,160
64,arakawa,28.0,1.567980506281305e-38,184
64,arakawa,29.0,1.0042086643622473e-39,172
64,arakawa,30.0,3.191528453843111e-39,200
64,arakawa,31.0,3.2672215159750986e-40,192
64,arakawa,32.0,1.7839673822102157e-40,166
64,arakawa,33.0,8.905979666360226e-41,148
64,arakawa,34.0,8.073591090608879e-41,128
64,arakawa,35.0,5.591434222678589e-41,104
64,arakawa,36.0,8.150009058258639e-41,88
64,arakawa,37.0,4.0888539930570353e-41,76
64,arakawa,38.0,2.858521520664185e-41,68
64,arakawa,39.0,2.3519335655814654e-41,48
64,arakawa,40.0,3.796394791196461e-41,56
64,arakawa,41.0,8.627103963318832e-42,28
64,arakawa,42.0,1.0727154189399142e-41,32
64,arakawa,43.0,9.518544261318425e-42,16
64,arakawa,44.0,2.4511645383255318e-42,8
64,arakawa,45.0,7.454217927154014e-43,5
128,fd_centered,1.0,1.69067859724301e-12,8
128,fd_centered,2.0,7.066812337900032e-12,12
128,fd_centered,3.0,1.0324199910562159e-05,16
128,fd_centered,4.0,6.550264207041327e-07,32
128,fd_centered,5.0,1.3497905651070125e-12,28
128,fd_centered,6.0,4.839190143902827e-12,40
128,fd_centered,7.0,8.967741391855542e-13,40
128,fd_centered,8.0,1.2069262020267064e-14,48
128,fd_centered,9.0,1.4805204084243374e-17,68
128,fd_centered,10.0,4.574350494450291e-19,56
128,fd_centered,11.0,1.3521337011557796e-19,72
128,fd_centered,12.0,3.1258232833193843e-21,68
128,fd_centered,13.0,6.196280983617458e-24,88
128,fd_centered,14.0,2.348405926456884e-25,88
128,fd_centered,15.0,3.923342551029238e-26,84
128,fd_centered,16.0,1.5806957051898663e-27,112
128,fd_centered,17.0,2.7614266594256462e-30,112
128,fd_centered,18.0,3.2563260482962114e-31,112
128,fd_centered,19.0,7.570615145705029e-33,116
128,fd_centered,20.0,7.1648404771531524e-34,112
128,fd_centered,21.0,1.595303901596476e-35,144
128,fd_centered,22.0,2.983870216314693e-35,140
128,fd_centered,23.0,5.681980629159512e-36,144
128,fd_centered,24.0,7.222021261137797e-38,144
128,fd_centered,25.0,1.124952487368452e-35,168
128,fd_centered,26.0,3.757665416145876e-35,164
128,fd_centered,27.0,4.879188126989179e-36,160
128,fd_centered,28.0,7.12507082300712e-36,184
128,fd_centered,29.0,4.768307121361642e-36,172
128,fd_centered,30.0,1.6033900220778795e-36,200
128,fd_centered,31.0,1.0177018989296953e-35,192
128,fd_centered,32.0,5.321088281111944e-38,188
128,fd_centered,33.0,1.028367279015876e-35,208
128,fd_centered,34.0,5.814960726707539e-37,224
128,fd_centered,35.0,2.5940251412706736e-36,224
128,fd_centered,36.0,7.892869918285125e-37,228
128,fd_centered,37.0,2.6352487834173303e-36,224
128,fd_centered,38.0,8.51135514916018e-36,248
128,fd_centered,39.0,1.3596990473484702e-36,236
128,fd_centered,40.0,3.0811694691859763e-38,264
128,fd_centered,41.0,1.7695038658568198e-36,248
128,fd_centered,42.0,3.787678746588151e-36,264
128,fd_centered,43.0,1.4674684348333064e-38,276
128,fd_centered,44.0,1.328844726499821e-38,264
128,fd_centered,45.0,1.511910806820463e-38,288
128,fd_centered,46.0,9.516118053191203e-39,276
128,fd_centered,47.0,1.0925859575944261e-38,304
128,fd_centered,48.0,7.0424543707476e-39,304
128,fd_centered,49.0,6.200787765588279e-39,312
128,fd_centered,50.0,6.737437973092074e-39,316
128,fd_centered,51.0,3.952735550228795e-39,320
128,fd_centered,52.0,3.734334483277261e-39,344
128,fd_centered,53.0,1.999225189855089e-39,316
128,fd_centered,54.0,1.8659378893205782e-39,336
128,fd_centered,55.0,2.021142941017491e-39,352
128,fd_centered,56.0,7.105391154735281e-40,340
128,fd_centered,57.0,7.042102443482627e-40,376
128,fd_centered,58.0,3.702264106222525e-40,336
128,fd_centered,59.0,4.524121115835678e-40,392
128,fd_centered,60.0,3.684248185890172e-41,380
128,fd_centered,61.0,6.507663379077466e-41,368
128,fd_centered,62.0,2.1220257904727456e-40,400
128,fd_centered,63.0,1.1665686749559198e-40,364
128,fd_centered,64.0,2.603311885119482e-41,406
128,fd_centered,65.0,1.9885981156219158e-41,312
128,fd_centered,66.0,1.5608831751130146e-41,288
128,fd_centered,67.0,1.2879013343998918e-41,260
128,fd_centered,68.0,1.1398228032285798e-41,232
128,fd_centered,69.0,9.93685209983088e-42,240
128,fd_centered,70.0,8.993055349833864e-42,200
128,fd_centered,71.0,6.585720932936155e-42,180
128,fd_centered,72.0,8.510700918317897e-42,192
128,fd_centered,73.0,9.46316448749509e-42,152
128,fd_centered,74.0,6.276255355645378e-42,164
128,fd_centered,75.0,6.930384505570054e-42,140
128,fd_centered,76.0,6.537745805653204e-42,136
128,fd_centered,77.0,5.435406898379288e-42,120
128,fd_centered,78.0,5.827017305538074e-42,100
128,fd_centered,79.0,3.663793122557953e-42,108
128,fd_centered,80.0,4.962193356795497e-42,84
128,fd_centered,81.0,3.19190154242343e-42,92
128,fd_centered,82.0,4.049944909059307e-42,68
128,fd_centered,83.0,2.3776917470149526e-42,64
128,fd_centered,84.0,2.4331067362142902e-42,56
128,fd_centered,85.0,2.9646186202224067e-42,32
128,fd_centered,86.0,4.1738754647460584e-42,52
128,fd_centered,87.0,1.1483587812136583e-42,20
128,fd_centered,88.0,2.593107347551417e-42,28
128,fd_centered,89.0,3.4435616207753774e-43,8
128,fd_centered,90.0,5.911239442538461e-44,4
128,fd_centered,91.0,2.968512848937621e-45,1
128,pseudo_spectral,1.0,1.7397241811166753e-12,8
128,pseudo_spectral,2.0,7.294992772858446e-12,12
128,pseudo_spectral,3.0,1.0324199782163707e-05,16
128,pseudo_spectral,4.0,6.550259760464888e-07,32
128,pseudo_spectral,5.0,1.3742070529461412e-12,28
128,pseudo_spectral,6.0,4.916046672559032e-12,40
128,pseudo_spectral,7.0,9.205777381133363e-13,40
128,pseudo_spectral,8.0,1.1759606965012047e-14,48
128,pseudo_spectral,9.0,1.396829166318591e-17,68
128,pseudo_spectral,10.0,4.889443841065506e-19,56
128,pseudo_spectral,11.0,1.453766389836674e-19,72
128,pseudo_spectral,12.0,2.8862964252384928e-21,68
128,pseudo_spectral,13.0,7.246390132459506e-24,88
128,pseudo_spectral,14.0,3.055630674248966e-25,88
128,pseudo_spectral,15.0,4.415210732676518e-26,84
128,pseudo_spectral,16.0,1.9073690927645397e-27,112
128,pseudo_spectral,17.0,3.5930454381176495e-30,112
128,pseudo_spectral,18.0,4.0344944048351945e-31,112
128,pseudo_spectral,19.0,9.049101760977859e-33,116
128,pseudo_spectral,20.0,9.474149264123714e-34,112
128,pseudo_spectral,21.0,1.8017522920755726e-35,144
128,pseudo_spectral,22.0,2.8031049704225336e-35,140
128,pseudo_spectral,23.0,6.0184314857889714e-36,144
128,pseudo_spectral,24.0,7.508016347910247e-38,144
128,pseudo_spectral,25.0,1.1829423062412925e-35,168
128,pseudo_spectral,26.0,3.8348259236649804e-35,164
128,pseudo_spectral,27.0,4.8408971139445226e-36,160
128,pseudo_spectral,28.0,7.77038059929572e-36,184
128,pseudo_spectral,29.0,4.631584930868434e-36,172
128,pseudo_spectral,30.0,1.2930604835225101e-36,200
128,pseudo_spectral,31.0,9.138114050055768e-36,192
128,pseudo_spectral,32.0,7.348876073466987e-38,188
128,pseudo_spectral,33.0,1.0122806291550543e-35,208
128,pseudo_spectral,34.0,4.924353490765828e-37,224
128,pseudo_spectral,35.0,2.873804040000651e-36,224
128,pseudo_spectral,36.0,6.846384525036389e-37,228
128,pseudo_spectral,37.0,2.7680248318818572e-36,224
128,pseudo_spectral,38.0,7.725897991656752e-36,248
128,pseudo_spectral,39.0,1.2618488721936187e-36,236
128,pseudo_spectral,40.0,4.104922874726073e-38,264
128,pseudo_spectral,41.0,1.845132972847117e-36,248
128,pseudo_spectral,42.0,3.152736764140957e-36,264
128,pseudo_spectral,43.0,2.095032427413397e-38,276
128,pseudo_spectral,44.0,1.0203944908645406e-38,264
128,pseudo_spectral,45.0,1.549533788901657e-38,288
128,pseudo_spectral,46.0,1.0147735213012502e-38,276
128,pseudo_spectral,47.0,1.0180084093245577e-38,304
128,pseudo_spectral,48.0,7.622629343373732e-39,304
128,pseudo_spectral,49.0,6.203244357697505e-39,312
128,pseudo_spectral,50.0,5.127920722842972e-39,316
128,pseudo_spectral,51.0,4.7145896828013015e-39,320
128,pseudo_spectral,52.0,4.801203618577723e-39,344
128,pseudo_spectral,53.0,3.1433403820721675e-39,316
128,pseudo_spectral,54.0,2.031113370454331e-39,336
128,pseudo_spectral,55.0,2.0644668154006534e-39,352
128,pseudo_spectral,56.0,1.061462964320571e-39,340
128,pseudo_spectral,57.0,9.232732012824157e-40,376
128,pseudo_spectral,58.0,4.833162999911899e-40,336
128,pseudo_spectral,59.0,8.403733159351381e-40,392
128,pseudo_spectral,60.0,3.4969670112274496e-41,380
128,pseudo_spectral,61.0,6.663095219494941e-41,368
128,pseudo_spectral,62.0,5.807232409244806e-40,400
128,pseudo_spectral,63.0,1.3678405723411589e-40,364
128,pseudo_spectral,64.0,2.5195216154514725e-41,406
128,pseudo_spectral,65.0,1.932595935476548e-41,312
128,pseudo_spectral,66.0,1.498215324553925e-41,288
128,pseudo_spectral,67.0,1.278651404479186e-41,260
128,pseudo_spectral,68.0,1.1260034595451821e-41,232
128,pseudo_spectral,69.0,1.117644486753425e-41,240
128,pseudo_spectral,70.0,1.1959891742015394e-41,200
128,pseudo_spectral,71.0,7.814008596149177e-42,180
128,pseudo_spectral,72.0,9.478347377763283e-42,192
128,pseudo_spectral,73.0,7.000101372980099e-42,152
128,pseudo_spectral,74.0,6.050933197095031e-42,164
128,pseudo_spectral,75.0,5.711784059518409e-42,140
128,pseudo_spectral,76.0,5.345778127092985e-42,136
128,pseudo_spectral,77.0,5.621979288114372e-42,120
128,pseudo_spectral,78.0,4.9015870155207256e-42,100
128,pseudo_spectral,79.0,4.496842490893761e-42,108
128,pseudo_spectral,80.0,4.241022486197218e-42,84
128,pseudo_spectral,81.0,5.5560347334836516e-42,92
128,pseudo_spectral,82.0,4.826298458095151e-42,68
128,pseudo_spectral,83.0,2.2916171274953758e-42,64
128,pseudo_spectral,84.0,2.2347825485067944e-42,56
128,pseudo_spectral,85.0,2.3895584316157217e-42,32
128,pseudo_spectral,86.0,2.8111099496061008e-42,52
128,pseudo_spectral,87.0,1.9205865745814627e-42,20
128,pseudo_spectral,88.0,5.939175434171105e-42,28
128,pseudo_spectral,89.0,2.6175431879240892e-43,8
128,pseudo_spectral,90.0,3.1596138451480423e-44,4
128,pseudo_spectral,91.0,2.7369110631344083e-48,1
128,arakawa,1.0,1.7248112679808993e-12,8
128,arakawa,2.0,7.20522190126108e-12,12
128,arakawa,3.0,1.0324199627400468e-05,16
128,arakawa,4.0,6.550263931463533e-07,32
128,arakawa,5.0,1.3465043808395723e-12,28
128,arakawa,6.0,4.7924647587303015e-12,40
128,arakawa,7.0,8.932828125899715e-13,40
128,arakawa,8.0,1.1328842096051968e-14,48
128,arakawa,9.0,1.2857720904274675e-17,68
128,arakawa,10.0,4.438925797245616e-19,56
128,arakawa,11.0,1.3102484456138326e-19,72
128,arakawa,12.0,2.5553832622688583e-21,68
128,arakawa,13.0,5.903406276046272e-24,88
128,arakawa,14.0,2.4131448011670263e-25,88
128,arakawa,15.0,3.440911064013203e-26,84
128,arakawa,16.0,1.4294196690604488e-27,112
128,arakawa,17.0,2.3535559831213543e-30,112
128,arakawa,18.0,2.550904996511491e-31,112
128,arakawa,19.0,5.42314083941992e-33,116
128,arakawa,20.0,5.49432452534481e-34,112
128,arakawa,21.0,1.1096042913939749e-35,144
128,arakawa,22.0,3.152502825940471e-35,140
128,arakawa,23.0,6.345174492464126e-36,144
128,arakawa,24.0,1.2511062087843233e-37,144
128,arakawa,25.0,1.1199482133430869e-35,168
128,arakawa,26.0,4.1465339339283025e-35,164
128,arakawa,27.0,5.1198659069837814e-36,160
128,arakawa,28.0,7.684587732698727e-36,184
128,arakawa,29.0,5.125966171779023e-36,172
128,arakawa,30.0,1.734358710004045e-36,200
128,arakawa,31.0,9.93260414140772e-36,192
128,arakawa,32.0,4.7019494816842416e-38,188
128,arakawa,33.0,1.0460958828359225e-35,208
128,arakawa,34.0,5.734514116174583e-37,224
128,arakawa,35.0,2.59322232636368e-36,224
128,arakawa,36.0,8.199739369365869e-37,228
128,arakawa,37.0,2.5311688676394465e-36,224
128,arakawa,38.0,8.109023232701132e-36,248
128,arakawa,39.0,1.3414238378373031e-36,236
128,arakawa,40.0,4.911755759061355e-38,264
128,arakawa,41.0,1.9480340064445956e-36,248
128,arakawa,42.0,3.3368219392859333e-36,264
128,arakawa,43.0,1.8486318821007585e-38,276
128,arakawa,44.0,1.35024736368723e-38,264
128,arakawa,45.0,1.560683922164125e-38,288
128,arakawa,46.0,8.744675393625106e-39,276
128,arakawa,47.0,1.1852901854716727e-38,304
128,arakawa,48.0,8.483964066890375e-39,304
128,arakawa,49.0,5.966318998712298e-39,312
128,arakawa,50.0,6.298642364245402e-39,316
128,arakawa,51.0,3.6578946936037594e-39,320
128,arakawa,52.0,5.953977474463774e-39,344
128,arakawa,53.0,2.8245545437491248e-39,316
128,arakawa,54.0,2.599745184201159e-39,336
128,arakawa,55.0,1.670477951150077e-39,352
128,arakawa,56.0,1.0228993678994265e-39,340
128,arakawa,57.0,1.2530989766430684e-39,376
128,arakawa,58.0,6.204618915668203e-40,336
128,arakawa,59.0,5.224739506204257e-40,392
128,arakawa,60.0,3.558005436703825e-41,380
128,arakawa,61.0,6.230371667614175e-41,368
128,arakawa,62.0,2.16788586229055e-40,400
128,arakawa,63.0,8.602421589921749e-41,364
128,arakawa,64.0,3.202171596175709e-41,406
128,arakawa,65.0,1.6506880880666977e-41,312
128,arakawa,66.0,1.5523209264265512e-41,288
128,arakawa,67.0,1.5444357748612924e-41,260
128,arakawa,68.0,1.1385893176102302e-41,232
128,arakawa,69.0,1.0797041688198285e-41,240
128,arakawa,70.0,9.540213512392736e-42,200
128,arakawa,71.0,7.925911001658809e-42,180
128,arakawa,72.0,1.1374786079474529e-41,192
128,arakawa,73.0,6.131107877940235e-42,152
128,arakawa,74.0,6.708144028830661e-42,164
128,arakawa,75.0,6.480392837052128e-42,140
128,arakawa,76.0,5.019659360028543e-42,136
128,arakawa,77.0,8.532301272839032e-42,120
128,arakawa,78.0,4.558154272106913e-42,100
128,arakawa,79.0,3.406114638450213e-42,108
128,arakawa,80.0,5.7391211238234373e-42,84
128,arakawa,81.0,2.6762158755598042e-42,92
128,arakawa,82.0,2.907896102549107e-42,68
128,arakawa,83.0,2.688640441402606e-42,64
128,arakawa,84.0,3.2732646429444145e-42,56
128,arakawa,85.0,1.737310189726954e-42,32
128,arakawa,86.0,2.5011889328474254e-42,52
128,arakawa,87.0,1.8664568264175038e-42,20
128,arakawa,88.0,1.7414096126509577e-42,28
128,arakawa,89.0,3.102426963306879e-43,8
128,arakawa,90.0,6.916195135351865e-44,4
128,arakawa,91.0,9.316710932765758e-46,1
